Country,Country:de,Country:es,Country:fr,Country:nb,Capital,Capital:de,Capital:es,Capital:fr,Capital:nb
Papua New Guinea,Papua-Neuguinea,Papúa Nueva Guinea,Papouasie-Nouvelle-Guinée,Papua Ny-Guinea,[[Port Moresby]],Port Moresby,Puerto Moresby,Port Moresby,Port Moresby
Australia,Australien,Australia,Australie,Australia,[[Canberra]],Canberra,Canberra,Canberra,Canberra
Solomon Islands,Salomonen,Islas Salomón,Îles Salomon,Salomonøyene,[[Honiara]],Honiara,Honiara,Honiara,Honiara
Argentina,Argentinien,Argentina,Argentine,Argentina,[[Buenos Aires]],Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires
Bolivia,Bolivien,Bolivia,Bolivie,Bolivia,[[Sucre]] <small>(constitutional and judicial)</small><br/>[[La Paz]] <small>(executive and legislative)</small>,Sucre,Sucre,Sucre (Bolivie),Sucre (Bolivia)
Brazil,Brasilien,Brasil,Brésil,Brasil,[[Brasília]],,,,
Chile,Chile,Chile,Chili,Chile,[[Santiago]]<sup>a</sup>,Santiago de Chile,Santiago de Chile,Santiago,Santiago de Chile
Colombia,Kolumbien,Colombia,Colombie,Colombia,[[Bogotá]],Bogotá,Bogotá,Bogota,Bogotá
Ecuador,Ecuador,Ecuador,Équateur (pays),Ecuador,[[Quito]],Quito,Quito,Quito,Quito
Guyana,Guyana,Guyana,Guyana,Guyana,"[[Georgetown, Guyana|Georgetown]]",Georgetown,Georgetown (desambiguación),Georgetown,Georgetown
Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,[[Asunción]],Asunción,Asunción,Asuncion,Asunción
Peru,Peru,Perú,Pérou,Peru,[[Lima]],Lima,Lima,Lima,Lima
Suriname,Suriname,Surinam,Suriname,Surinam,[[Paramaribo]],Paramaribo,Paramaribo,Paramaribo,Paramaribo
Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,[[Montevideo]],Montevideo,Montevideo,Montevideo,Montevideo
Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,[[Caracas]],Caracas,Caracas,Caracas,Caracas
Cook Islands,Cookinseln,Islas Cook,Îles Cook,Cookøyene,[[Avarua]],Avarua,Avarua,Avarua,Avarua
Federated States of Micronesia,Föderierte Staaten von Mikronesien,Estados Federados de Micronesia,États fédérés de Micronésie,Mikronesiaføderasjonen,[[Palikir]],Palikir,Palikir,Palikir,Palikir
Guam,Guam,Guam,Guam,Guam,[[Hagåtña]],,,,
Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,[[Port Vila]],Port Vila,Port Vila,Port-Vila,Port Vila
Canada,Kanada,Canadá,Canada,Canada,[[Ottawa]],Ottawa,Ottawa,Ottawa,Ottawa
United States of America,,,,,"{{plainlist|
* [[Washington, D.C.]]
* |coord|38|53|N|77|01|W|display|=|inline}} {{coord|38|53|N|77|01|W|display|=|inline}}","Washington, D.C.",Washington D. C.,Washington (district de Columbia),"Washington, D.C."
Mexico,Mexiko,México,Mexique,Mexico,[[Mexico City]],Mexiko-Stadt,Ciudad de México,Mexico,Mexico by
